graph,rtt_pattern,rtt_ms,policy,walk_per_start_s,sim_per_start_s,total_per_start_s,hop_count_avg,auth_calls_avg,hit_rate,diff_vs_lru_s
vldb,mid,60,BFS-Score(top500),40.5276,1070.8650,1111.3926,10337.00,7510.75,0.3832,+55.4331
vldb,far,200,none,40.5276,4502.8500,4543.3776,10337.00,12177.25,0.0000,+1102.8681
vldb,far,200,memo,32.6166,3205.2500,3237.8666,10337.00,5689.25,0.5328,-202.6429
vldb,far,200,lru,34.0095,3406.5000,3440.5095,10337.00,6695.50,0.4502,+0.0000
vldb,far,200,arc,34.2125,3407.8500,3442.0625,10337.00,6702.25,0.4496,+1.5530
vldb,far,200,BFS_K=3,40.5276,3974.9500,4015.4776,10337.00,9537.75,0.2168,+574.9681
vldb,far,200,BFS_K=5,40.5276,3684.9500,3725.4776,10337.00,8087.75,0.3358,+284.9681
vldb,far,200,BFS_K=7,40.5276,3527.7500,3568.2776,10337.00,7301.75,0.4004,+127.7681
vldb,far,200,BFS_K=10,40.5276,3378.3000,3418.8276,10337.00,6554.50,0.4617,-21.6819
vldb,far,200,BFS_K=15,40.5276,3276.1000,3316.6276,10337.00,6043.50,0.5037,-123.8819
vldb,far,200,BFS-Score(top100),40.5276,4032.8000,4073.3276,10337.00,9827.00,0.1930,+632.8181
vldb,far,200,BFS-Score(top200),40.5276,3866.1000,3906.6276,10337.00,8993.50,0.2615,+466.1181
vldb,far,200,BFS-Score(top500),40.5276,3569.5500,3610.0776,10337.00,7510.75,0.3832,+169.5681
