project,alpha,walks,capacity,graph,policy,far_threshold,prefetch_depth,n_starts,avg_length,auth_time_mean,auth_time_sum,walk_time_mean,walk_time_sum,auth_calls_sum,hit_sum,miss_sum,hit_rate
bfs-degree,0.01,100,100,karate,bfs-lru,,,5,97.47,2.226918,11.13459,28.92736,144.6368,6235,52891,6235,0.8945472381016811
bfs-degree,0.01,100,100,karate,degree-lru,,,5,97.47,3.3174599999999996,16.5873,29.9389922,149.694961,9295,49831,9295,0.8427933565605655
bfs-degree,0.01,100,100,karate,hybrid-lru,,,5,97.47,3.843477,19.217385,30.4846698,152.423349,10765,48361,10765,0.8179311977810101
bfs-degree,0.01,100,100,karate,lru,,,5,97.47,2.2392568,11.196284,28.964461,144.822305,6235,52891,6235,0.8945472381016811
bfs-degree,0.01,100,100,karate,none,,,5,97.47,19.9856618,99.928309,45.7339448,228.669724,59126,0,59126,0.0
bfs-degree,0.01,100,100,vldb,bfs-lru,2.0,1.0,4,104.37,9.356602,37.426408,33.473293999999996,133.89317599999998,26782,21927,26782,0.450163214190396
bfs-degree,0.01,100,100,vldb,bfs-lru,2.0,2.0,4,104.37,9.313470583333332,111.761647,33.30443116666667,399.653174,80631,65496,80631,0.44821285594038063
bfs-degree,0.01,100,100,vldb,bfs-lru,3.0,1.0,4,104.37,9.3207675,37.28307,33.62342975,134.493719,26782,21927,26782,0.450163214190396
bfs-degree,0.01,100,100,vldb,bfs-lru,3.0,2.0,4,104.37,9.286759083333333,111.441109,33.32912708333333,399.949525,80343,65784,80343,0.4501837442772383
bfs-degree,0.01,100,100,vldb,bfs-lru,4.0,1.0,4,104.37,9.238792499999999,36.955169999999995,33.25064,133.00256,26782,21927,26782,0.450163214190396
bfs-degree,0.01,100,100,vldb,bfs-lru,4.0,2.0,4,104.37,9.282545416666666,111.390545,33.2934165,399.520998,80343,65784,80343,0.4501837442772383
bfs-degree,0.01,100,100,vldb,bfs-lru,5.0,1.0,4,104.37,9.36608575,37.464343,33.60610475,134.424419,26782,21927,26782,0.450163214190396
bfs-degree,0.01,100,100,vldb,bfs-lru,5.0,2.0,4,104.37,9.222696,73.781568,33.262349125,266.098793,53562,43856,53562,0.4501837442772383
bfs-degree,0.01,100,100,vldb,bfs-lru,6.0,1.0,4,104.37,9.22804925,36.912197,33.28426725,133.137069,26782,21927,26782,0.450163214190396
bfs-degree,0.01,100,100,vldb,bfs-lru,6.0,2.0,4,104.37,9.28494275,74.279542,33.349324124999995,266.79459299999996,53562,43856,53562,0.4501837442772383
bfs-degree,0.01,100,100,vldb,bfs-lru,,,4,104.37,9.71633825,38.865353,33.96787925,135.871517,26781,21928,26781,0.4501837442772383
bfs-degree,0.01,100,100,vldb,degree-lru,,,4,104.37,13.675446749999999,54.701786999999996,37.68262925,150.730517,38653,10056,38653,0.2064505532858404
bfs-degree,0.01,100,100,vldb,hybrid-lru,,,4,104.37,13.66375725,54.655029,37.75606975,151.024279,38784,9925,38784,0.20376111190950338
